season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
4,2,John Ratzenberger,0.058848375165950734,0.03215833659221043,0.12237498416926117,21.0,0.052080733761784785,0.08571428571428572,False
4,2,Leeza Gibbons,0.026649252547981107,0.021030369118322914,0.07748914056643051,21.0,0.006575629736210228,0.08571428571428572,False
4,2,Paulina Porizkova,0.005094471462385689,0.004912452025417341,0.017853254680853196,21.0,9.074643915360984e-05,0.08571428571428572,True
4,2,Shandi Finnessey,0.03077472702893274,0.020962914841515103,0.07911183537896614,20.0,0.008803242589974392,0.08163265306122448,False
4,2,Clyde Drexler,0.05675450632426142,0.030071878480634664,0.11267252100626564,18.0,0.04626875378866379,0.07346938775510205,False
4,3,Heather Mills,0.03147509881595677,0.02394672173658899,0.09006477184573711,24.0,0.009969142872714729,0.11009174311926606,False
4,3,Ian Ziering,0.09820658377084486,0.04109142885978261,0.15862611488003397,24.0,0.09667835291022157,0.11009174311926606,False
4,3,Joey Fatone,0.2004267997295562,0.05504894108987617,0.21456191255288765,24.0,0.22451617314121228,0.11009174311926606,False
4,3,Leeza Gibbons,0.028573254322042285,0.023002459514841114,0.08533135098851488,24.0,0.006576226505348657,0.11009174311926606,False
4,3,Apolo Anton Ohno,0.25218605749289386,0.05983736874041096,0.23151544465603496,23.0,0.29346734082219333,0.10550458715596331,False
4,3,Billy Ray Cyrus,0.09014504223449299,0.03986354200878183,0.15324433856200448,21.0,0.08835855046337981,0.0963302752293578,False
4,3,Laila Ali,0.15838405516553686,0.051020466447758185,0.20050311411392885,21.0,0.17327175853332696,0.0963302752293578,False
4,3,Shandi Finnessey,0.011021748599466887,0.007663781857310294,0.028382876748293054,21.0,0.008804041525392983,0.0963302752293578,True
4,3,John Ratzenberger,0.06265554227646988,0.03286115630338367,0.12525591800004593,20.0,0.05208546033184159,0.09174311926605505,False
4,3,Clyde Drexler,0.0669258175927384,0.02850241954108071,0.10832281099713278,16.0,0.04627295289436808,0.07339449541284404,False
4,4,Joey Fatone,0.21023262019123362,0.05745826500891927,0.22539943179347754,28.0,0.2265103799320667,0.14736842105263157,False
4,4,Apolo Anton Ohno,0.2643399718884777,0.061667733908384696,0.24006634625491652,26.0,0.2960739885116385,0.1368421052631579,False
4,4,Ian Ziering,0.10340682643834452,0.04298530574913521,0.1642795396368284,24.0,0.09753707335429812,0.12631578947368421,False
4,4,Heather Mills,0.03227258560888471,0.024520280993336595,0.0926595944498114,23.0,0.010057691203721875,0.12105263157894737,False
4,4,Billy Ray Cyrus,0.09318049008324963,0.04111414840856344,0.15810596473016253,21.0,0.08914337241584246,0.11052631578947368,False
4,4,Laila Ali,0.16177426089908972,0.05135338470416041,0.1963314338383479,21.0,0.17481080007628574,0.11052631578947368,False
4,4,John Ratzenberger,0.06230820489126271,0.03254400747072368,0.12420482880478674,16.0,0.05254809595067163,0.08421052631578947,False
4,4,Leeza Gibbons,0.013483095247947339,0.010950044581019997,0.04057640717036265,16.0,0.006634638134995109,0.08421052631578947,True
4,4,Clyde Drexler,0.05900194475151117,0.030333251238097544,0.11538762950766837,15.0,0.046683960420479786,0.07894736842105263,False
4,5,Apolo Anton Ohno,0.2757496368751355,0.06218890314727539,0.24322771121551523,30.0,0.29805145204154404,0.17045454545454544,False
4,5,Laila Ali,0.17379347691532415,0.053174849561349186,0.20832552223265283,28.0,0.17597835276648388,0.1590909090909091,False
4,5,Joey Fatone,0.2129055066607698,0.057038030988489294,0.22214631423992642,25.0,0.22802323155983845,0.14204545454545456,False
4,5,Ian Ziering,0.1068709885818515,0.04297616022567213,0.16593381133594304,24.0,0.09818851864451571,0.13636363636363635,False
4,5,Heather Mills,0.03419551799970913,0.02459407935077254,0.09200250895306866,21.0,0.01012486602596949,0.11931818181818182,False
4,5,John Ratzenberger,0.06637785249952131,0.03341405510449486,0.12844259219137244,18.0,0.05289906208528816,0.10227272727272728,False
4,5,Billy Ray Cyrus,0.0937591166745373,0.03980828268112673,0.15286735135846696,17.0,0.08973875659251823,0.09659090909090909,False
4,5,Clyde Drexler,0.03634790379315179,0.016970189106987183,0.06485516275293673,13.0,0.04699576028384205,0.07386363636363637,True
4,6,Apolo Anton Ohno,0.27943301256636216,0.0621256444266736,0.24151010064719775,28.0,0.3127493453022995,0.16470588235294117,False
4,6,Laila Ali,0.17820641980934213,0.05287670700376356,0.20399424926179272,28.0,0.18465642169535065,0.16470588235294117,False
4,6,Joey Fatone,0.22213693274813318,0.057108576264045224,0.22313679999036728,27.0,0.23926780391633173,0.1588235294117647,False
4,6,Ian Ziering,0.11091352094195814,0.04301120235313049,0.1666992977224106,24.0,0.10303051608013844,0.1411764705882353,False
4,6,Heather Mills,0.02216990688165658,0.01439246530769387,0.05358474610499333,23.0,0.010624156330075796,0.13529411764705881,True
4,6,Billy Ray Cyrus,0.10327418027014229,0.03993582830753816,0.15415325606903682,21.0,0.09416406858719323,0.12352941176470589,False
